date,oil_rate,gas_rate,water_rate
2023-01-01,1000,50000,50
2023-02-01,950,48000,55
2023-03-01,903,46000,60
2023-04-01,858,44000,65
2023-05-01,815,42000,70
2023-06-01,775,40000,75
2023-07-01,736,38000,80
2023-08-01,699,36000,85
2023-09-01,664,34000,90
2023-10-01,630,32000,95
2023-11-01,598,30000,100
2023-12-01,567,28000,105
2024-01-01,538,26000,110
2024-02-01,510,24000,115
2024-03-01,483,22000,120
2024-04-01,458,20000,125
2024-05-01,434,18000,130
2024-06-01,411,16000,135
2024-07-01,389,14000,140
2024-08-01,368,12000,145
2024-09-01,348,10000,150
2024-10-01,329,8000,155
2024-11-01,311,6000,160
2024-12-01,294,4000,165
2025-01-01,277,2000,170
2025-02-01,262,1000,175
2025-03-01,247,500,180
2025-04-01,233,250,185
2025-05-01,219,125,190
2025-06-01,206,63,195
2025-07-01,194,31,200
2025-08-01,182,16,205
2025-09-01,171,8,210
2025-10-01,160,4,215
2025-11-01,150,2,220
2025-12-01,141,1,225
